population,pop_density,state,county
7870,14.79652284,19,053
17011,29.447001038,19,055
38967,93.641698544,19,057
17258,45.353724812,19,059
97311,159.97222714,19,061
9208,23.259009204,19,063
19650,26.887237429,19,065
15642,31.24645399,19,067
10070,17.303228857,19,069
6960,13.615908945,19,071
8888,15.603445723,19,073
12232,24.373585812,19,075
10689,18.09792974,19,077
14773,25.614067098,19,079
10630,18.616312523,19,081
16846,29.590225761,19,083
14049,20.160928433,19,085
19954,45.946536575,19,087
9158,19.351436002,19,089
9558,22.004248277,19,091
6860,15.897745198,19,093
16184,27.59631515,19,095
19439,30.562376885,19,097
37185,50.909554584,19,099
18295,42.006949047,19,101
151140,246.56142631,19,103
20681,35.928316003,19,105
10246,17.690496463,19,107
14813,15.228258331,19,109
33657,65.031385435,19,111
226706,316.15240015,19,113
11035,27.46584375,19,115
8600,19.971974117,19,117
11755,20.003394347,19,119
16338,29.122675181,19,121
22095,38.704844554,19,123
33253,59.970497482,19,125
39369,68.766444364,19,127
15109,34.540247291,19,129
10586,22.565025864,19,131
8615,12.412258759,19,133
7707,17.769668271,19,135
9917,23.383809178,19,137
42664,97.529987564,19,139
13753,24.000272691,19,141
5958,14.94406449,19,143
15107,28.240359593,19,145
8886,15.759124018,19,147
25177,29.179614225,19,149
6619,11.466615017,19,151
490161,856.60533826,19,153
93206,98.058840781,19,155
18504,31.634899565,19,157
4894,9.1391632427,19,159
9721,16.905438797,19,161
172943,377.53372127,19,163
11454,19.387960371,19,165
34855,45.389191751,19,167
97117,169.62374182,19,169
16854,23.375501733,19,171
6121,11.50776661,19,173
12241,28.894466354,19,175
7044,14.529470133,19,177
34969,80.97727352,19,179
51466,90.316926025,19,181
21965,38.615577756,19,183
6441,12.257122236,19,185
35904,50.165658876,19,187
10354,25.853388122,19,189
19991,28.979356885,19,191
103107,118.12055755,19,193
7381,18.44680705,19,195
12562,21.643119997,19,197
12369,24.723295032,20,001
7858,13.556579662,20,003
16073,37.277258299,20,005
4427,3.9036217019,20,007
25779,28.795076766,20,009
14534,22.871229908,20,011
9564,16.753335346,20,013
66911,46.801852652,20,015
2648,3.4253773615,20,017
3250,5.0870192967,20,019
19939,33.934863448,20,021
2657,2.6051838393,20,023
1994,2.0458881424,20,025
8002,12.400463388,20,027
8786,12.282240647,20,029
8179,13.047055805,20,031
1700,2.1565461765,20,033
34908,31.008988735,20,035
38818,65.818822002,20,037
2827,3.1639003539,20,039
18466,21.799919935,20,041
7600,19.314884583,20,043
122259,268.25026837,20,045
2798,4.4991555354,20,047
2530,3.9269599516,20,049
28553,31.728644056,20,051
6102,8.5274061885,20,053
36467,28.008502744,20,055
33619,30.610846984,20,057
25544,44.67516335,20,059
31670,82.331789641,20,061
2636,2.4597217138,20,063
2482,2.7622990886,20,065
7150,12.438934873,20,067
5988,6.8917304517,20,069
1232,1.5827249843,20,071
5982,5.2322042105,20,073
2539,2.5478828777,20,075
5436,6.7841951533,20,077
34429,63.786246623,20,079
3968,6.8707451355,20,081
1794,2.08606574,20,083
13171,20.071031386,20,085
19043,35.7567766,20,087
2879,3.1638376308,20,089
602401,1271.9107791,20,091
3838,4.4087411492,20,093
7152,8.2833469159,20,095
2475,3.4249439775,20,097
19618,30.396972182,20,099
1535,2.1396447458,20,101
81758,176.42879682,20,103
2962,4.1173435412,20,105
9703,16.332789212,20,107
2794,2.6039305654,20,109
33195,39.168791559,20,111
28542,31.773879389,20,113
11884,12.584998727,20,115
9707,10.783461385,20,117
4033,4.1233733037,20,119
34237,59.451750032,20,121
5979,8.5196180086,20,123
31829,49.455110534,20,125
5620,8.0823455421,20,127
2587,3.5451436656,20,129
10231,14.260679611,20,131
16007,28.009665904,20,133
2750,2.5587597488,20,135
5361,6.1056184825,20,137
15949,22.606454106,20,139
3421,3.8329858362,20,141
5704,7.914193336,20,143
6414,8.5036672211,20,145
5234,5.908308454,20,147
24383,29.001823024,20,149
9164,12.467373808,20,151
2530,2.3657762688,20,153
61998,49.38868617,20,155
4636,6.4624296629,20,157
9537,13.132139639,20,159
74232,121.75160919,20,161
4920,5.5248185644,20,163
3036,4.2298084507,20,165
6856,7.7358785344,20,167
54224,75.285807566,20,169
4823,6.7211539001,20,171
516042,517.63208961,20,173
21428,33.49941877,20,175
176875,325.12414668,20,177
2521,2.8137505904,20,179
5917,5.6028797971,20,181
3583,4.0012762274,20,183
4156,5.2471696792,20,185
2006,2.9484739467,20,187
5485,7.5420100117,20,189
22836,19.325438109,20,191
7777,7.236529009,20,193
2803,3.1513001561,20,195
6931,8.7255260632,20,197
1518,1.6614637036,20,199
5406,6.0418406191,20,201
2119,2.9489274448,20,203
8525,14.945079645,20,205
3138,6.3035002498,20,207
165429,1090.9501807,20,209
19202,47.37865372,21,001
21315,61.900867646,21,003
22747,112.51640885,21,005
7888,31.952183635,21,007
44249,90.751511828,21,009
12500,44.835455746,21,011
26032,72.500062436,21,013
133581,542.38531809,21,015
19788,68.294236446,21,017
46718,292.23002666,21,019
30060,166.6759846,21,021
8303,40.958662161,21,023
12630,25.649019893,21,025
20477,35.93680081,21,027
81676,274.97464615,21,029
12879,30.225899168,21,031
12747,36.970326972,21,033
39001,101.29328541,21,035
93584,618.36956916,21,037
4760,25.126690865,21,039
10631,82.686200199,21,041
26797,65.439137344,21,043
16159,36.374604486,21,045
70461,98.202174987,21,047
36263,143.62305774,21,049
19901,42.406022304,21,051
10218,51.802218299,21,053
8806,24.463610457,21,055
6614,21.671344299,21,057
101511,221.45056716,21,059
12150,40.114242823,21,061
7517,32.080245893,21,063
14106,55.734273251,21,065
323152,1139.3160414,21,067
14581,41.833900245,21,069
35589,90.492274834,21,071
50991,245.33658255,21,073
5969,28.985406862,21,075
8869,90.186591437,21,077
17666,76.77575191,21,079
25069,97.175275666,21,081
37266,67.540731704,21,083
26427,52.861607943,21,085
10941,38.248687962,21,087
35098,101.89212911,21,089
8722,46.474390558,21,091
110958,177.98942936,21,093
26010,55.83572673,21,095
18886,61.635932237,21,097
19035,46.138540653,21,099
45210,103.57571385,21,101
16126,56.326539483,21,103
4380,18.078669234,21,105
44686,82.436479048,21,107
13329,38.612937494,21,109
766757,2014.0227305,21,111
54115,314.32036792,21,113
22188,84.698486295,21,115
166998,1041.8475561,21,117
14806,42.120167308,21,119
31145,80.622996485,21,121
14398,55.048119317,21,123
60813,140.12591263,21,125
15317,36.85553218,21,127
7403,35.444976907,21,129
9877,24.639918954,21,131
