state_fips,county_fips,median_household_income,pct_households_below_poverty,pct_pop_over_65,pct_pop_uninsured,pct_pop_using_public_transit,pop_density
5,89,35518,14.2,27.4,7,0.1,27.96517883
5,91,41903,18.1,16,10.7,0.5,69.13026714
5,93,37237,20.3,14.1,7.9,0.3,45.138878247
5,95,35190,18.1,22.4,9.9,0,11.037114769
5,97,37855,15.7,26.6,12,0.3,11.521687699
5,99,37635,25.3,19.9,8.7,0.6,13.356142655
5,101,39896,8.1,24.6,7.5,0.9,9.4444614151
5,103,34887,19.4,19.1,7.4,0.5,31.908498886
5,105,46071,12.6,19,6,0,18.955371284
5,107,29263,25.5,17.6,9.3,0,25.562499158
5,109,37406,12.8,20.1,10.3,0.4,17.84474605
5,111,39277,16.8,17.5,11.5,0.1,31.024751005
5,113,37035,19,22.2,11.6,0.3,23.282172074
5,115,41914,13.3,15.1,9.1,0.3,78.856275223
5,117,41846,12,22.9,8.2,0,12.443872702
5,119,50093,12.3,14.5,8.6,0.8,516.73581324
5,121,36870,12.2,19.8,8.5,0,27.533501081
5,123,35356,20.4,15.2,10.3,0,39.375552191
5,125,62152,5.8,17.2,6.1,0,169.21150169
5,127,35509,14.7,19.9,8.8,0,11.521057496
5,129,36390,14.5,24.8,7.3,0.4,11.833169823
5,131,43240,14.9,15.2,10.7,0.6,240.65234879
5,133,46667,16.4,14.1,14.7,0.1,30.084666463
5,135,33708,15.6,25.7,7.1,0,28.858136858
5,137,36162,12.8,26.4,7.5,0,20.620908233
5,139,44000,16.1,16.9,10.6,0.4,37.220922658
5,141,36897,14.2,25.3,10.5,0,23.311018833
5,143,49629,11.1,11.1,11.5,0.6,253.92016704
5,145,43822,12.8,15.8,9,0.1,76.084445421
5,147,31023,17.8,22.3,6.1,0.6,10.770528812
5,149,42361,13.6,17,8.5,0.1,22.944738637
6,1,92574,6.8,13.1,5.1,15,2266.8038359
6,3,64688,6.2,25.6,10.3,0.3,1.5291051379
6,5,61198,5.1,26.3,4.2,0.2,66.858209499
6,7,48443,11.5,17.7,7.4,1.2,133.93669839
6,9,58151,7.8,27,5.2,1.1,45.004949116
6,11,56704,10.6,13.8,10.3,0.4,18.724913044
6,13,93712,6.5,15,5.7,10.6,1608.6423209
6,15,45258,15.9,16.7,6.3,0.8,27.639863872
6,17,80582,5.4,19.7,5.2,1.7,112.91594941
6,19,51261,19.7,11.7,9.5,1.2,167.6799017
6,21,47395,14.5,15.4,9.6,0.4,21.608599947
6,23,45528,10.2,16.7,9.7,2,37.99127697
6,25,45834,21,12.5,9.3,0.8,43.399192677
6,27,52874,9,22.9,6.4,0.9,1.7690113294
6,29,52479,18,10.4,9,0.8,110.6947351
6,31,53865,16.6,9.7,8.2,0.3,110.00431738
6,33,42475,16.4,21.7,9.5,0.7,51.241878985
6,35,56362,10.1,13.3,5.7,0.4,6.7323831967
6,37,64251,12.2,12.9,10.8,6,2473.5073498
6,39,52884,16.9,13.4,9.4,0.5,73.62298192
6,41,110217,4.1,21,4,9.5,497.3152999
6,43,51199,9.4,26.7,4.9,2,11.873656028
6,45,49233,13.5,20.4,9.3,0.2,24.740481573
6,47,50129,19,10.9,8.7,1.2,143.42146144
6,49,45149,9,25.7,12.3,0,2.2394002959
6,51,63018,4,14.3,16.6,18.9,4.7373118689
6,53,66676,10.5,12.8,11.2,1.6,132.2662889
6,55,84753,5.2,18,6.5,1.7,184.08552018
6,57,63240,6.2,25.4,7.8,0.8,104.15446736
6,59,85398,7.9,13.9,8.4,2,4005.6166459
6,61,84357,5.7,18.7,4.7,1.2,283.09018519
6,63,53270,6.8,26.7,3.5,0.5,7.3664475247
6,65,63948,11.3,13.8,10,1.3,342.703209
6,67,63902,11.8,13.4,6.3,2.6,1607.9350016
6,69,81977,7.3,12.1,7.4,0.6,45.229486087
6,71,60164,13.7,10.9,9.4,1.5,108.63552451
6,73,74855,8.7,13.3,8.7,2.9,792.91438376
6,75,104552,5.8,15.1,4.4,34.2,18795.223512
6,77,61145,12.7,12.2,7.5,1.5,547.38885704
6,79,70699,6.5,18.7,7.5,1.2,85.775180087
6,81,113776,4.2,15.4,4.8,10.7,1708.6818505
6,83,71657,9,14.6,10.6,3.1,163.24346466
6,85,116178,4.9,12.8,4.8,4.3,1493.2046662
6,87,78041,8,15,6.2,2.9,613.82863485
6,89,50905,10.8,19.9,7.5,0.7,47.697443513
6,91,48125,4.4,29.1,10.2,0.3,3.1526435038
6,93,44200,13.3,24,7,0.5,6.9343223736
6,95,77609,7.9,14.7,5.6,3,544.70103033
6,97,76753,6.1,18.2,6.9,1.8,313.74622239
6,99,57387,12.7,12.6,6.5,0.8,368.08392539
6,101,56955,13.3,14.8,9.6,0.9,160.9395951
6,103,42899,14.9,18.9,7.3,0.3,22.068830947
6,105,38497,12.6,26.3,11.3,0.5,3.8640974347
6,107,47518,21.4,10.9,9.8,0.7,96.634667469
6,109,56493,8.3,24.8,5.7,0.5,24.530013798
6,111,84017,6.6,14.6,9.3,1.2,459.16825553
6,113,65923,9.3,11.8,5.9,4.2,217.29866745
6,115,52624,15.2,12,8,0.9,124.47153319
8,1,67575,8.5,9.9,11.1,3.7,443.64116675
8,3,39191,16.7,12.8,14,0.1,22.465424451
8,5,73925,6.3,12.3,8.2,4.2,822.83599885
8,7,50753,7.4,24.5,11.1,0.1,10.391173342
8,9,37500,15.4,25.9,6.8,0,1.4015695336
8,11,34392,22.9,17.3,9.5,0,3.6864273852
8,13,78642,5.5,13.1,5,4.7,449.0721707
8,14,89624,2.5,12.9,4.7,3.6,2135.0741839
8,15,54580,6.4,24.4,10.4,0.4,20.086669116
8,17,55227,7,12,11.2,0,1.0296488382
8,19,69936,3.1,18.9,9,0.6,24.55243145
8,21,34746,16.5,18,13.5,0.1,6.3731703633
8,23,30593,26,26.8,11.6,0,3.1663577284
8,25,37586,18,12.9,7,0,7.6972162063
8,27,44644,10,36.3,15.5,0,6.8613905706
8,29,44512,11.8,24.7,10.2,0.5,27.284220284
8,31,63793,10,11.4,10.3,6.5,4743.9552682
8,33,41714,10.7,25.6,5.1,0,1.9256531242
8,35,115314,2.3,10.9,2.9,1.9,417.91548841
8,37,84685,3.8,10.1,15.1,5.1,32.726608698
8,39,96658,3.1,14.7,5.8,0.1,14.441579212
8,41,65334,7.7,12.1,7.4,0.8,338.71841276
8,43,46296,11.1,20.9,7.1,0.2,31.20445954
8,45,72898,5.9,12,17.1,3.8,20.377448183
8,47,75120,2.9,14.5,4.6,0.5,41.613730276
8,49,70469,4.2,16.1,14.8,3.5,8.5212337515
8,51,54979,5.5,12.4,10.8,4.4,5.3909343068
8,53,52188,8.1,27.4,10.3,0,0.7339575399
8,55,36705,13.5,30.9,8.6,0.1,4.334919592
8,57,48828,7.4,22.2,10.6,0,0.8626001243
8,59,78943,4.3,15.6,5.8,3.4,762.59696552
8,61,39784,9,19.7,5.9,0.5,0.7953348788
8,63,51046,6.7,18,12.6,0.8,3.2843989042
8,65,46918,11.3,11.7,14.7,0.6,21.561657813
8,67,64372,4.5,15.7,9.1,0.7,33.273132033
8,69,67664,5.7,14.7,6.3,1.5,137.4922924
8,71,41945,11.6,22.9,9.3,0.8,3.0392180855
8,73,49423,8.4,17.1,4,0,2.2116792515
8,75,48922,9,16.8,9.1,0.6,12.188088015
8,77,53683,11.7,17.9,10.1,0.4,46.324405694
8,79,61058,6.7,30.4,8.3,0,0.8780939967
8,81,52807,9.5,13.9,13.5,0.8,2.8004043902
8,83,46797,10.6,20.7,12.9,0,12.902166001
8,85,48739,12.2,22.4,10.9,0.3,19.080333806
8,87,51626,6.2,15.3,7.9,0.1,22.700768731
8,89,34136,20.3,19.7,9.6,0.3,14.483982029
8,91,62230,7,27.2,10.1,0,9.1433973996
8,93,66861,2.6,19.1,7.3,1.2,8.5897142148
8,95,50724,4.3,18.4,15.6,0,6.199777726
