median_household_income,state,county
69706,02,013
72237,02,230
54191,02,198
66907,02,195
35539,02,158
61606,04,013
51352,04,009
40467,04,023
33333,04,012
43266,04,015
57616,04,005
44058,04,027
60962,04,011
55550,04,021
35356,05,123
43822,05,145
37635,05,099
43838,05,037
43014,05,043
36148,05,027
62152,05,125
36897,05,141
40218,05,065
45166,05,079
39748,05,083
39002,05,035
39463,05,047
37406,05,109
38289,05,069
37855,05,097
35509,05,127
43240,05,131
64141,05,007
33051,05,017
37170,05,071
28367,05,077
30234,05,041
36184,05,049
43146,05,051
41914,05,115
41846,05,117
52754,39,161
48572,39,167
49491,39,171
61758,39,011
46306,39,029
52691,39,037
57918,39,123
60231,39,051
48773,39,065
45340,39,079
46924,39,095
56010,39,117
47456,39,121
55374,39,135
49936,39,147
52190,39,151
50552,39,003
44491,39,031
42892,39,033
104322,39,041
43975,39,059
50000,39,073
59417,39,107
48403,39,141
48435,39,035
56965,39,093
57544,39,109
49314,39,113
45975,39,155
59789,39,173
44823,39,007
32986,40,001
46166,40,137
46071,40,025
49216,40,019
56287,40,053
38322,40,055
64492,40,087
37086,40,091
51490,40,099
53253,40,103
39070,40,115
38328,40,135
61566,40,145
56899,40,151
44588,40,015
42689,40,101
38527,40,107
43245,40,013
50114,40,059
45426,40,071
41701,40,035
53902,40,143
71157,40,017
41607,40,057
42363,40,077
47789,40,113
50450,40,139
37457,40,127
51332,40,047
40077,40,069
45346,40,121
47667,40,129
58706,40,153
40936,40,021
39742,40,041
52705,40,045
58177,40,051
40944,40,119
47683,40,125
49578,40,037
40462,40,141
52510,40,149
51623,40,033
38209,40,075
39769,40,079
35829,40,089
54118,40,093
48853,40,097
52855,40,109
48884,40,039
51996,40,007
52007,40,085
48725,40,009
32129,40,023
45757,40,065
49362,40,081
56097,41,047
50851,41,029
45357,41,023
50339,41,031
76597,41,005
52097,41,043
47500,41,057
43921,41,001
43046,41,033
51887,41,059
46061,41,041
59714,41,009
48056,41,055
50973,41,065
49958,41,039
42478,41,045
78010,41,067
55440,41,049
52583,41,007
46396,41,015
42976,41,021
36627,41,037
48617,41,061
71539,42,045
56026,42,119
54851,42,127
58916,42,043
38383,42,053
63931,42,089
43744,42,101
58866,42,129
47969,42,013
45901,42,021
61522,42,011
48597,42,061
48860,42,073
47526,42,087
68895,42,041
58383,42,003
57638,42,109
53059,42,115
49144,42,039
49716,42,049
51259,42,057
52765,42,067
49190,42,107
59308,42,131
64507,42,001
49032,42,005
49234,42,035
53624,42,025
58055,42,027
47063,42,097
67565,42,095
41485,42,023
47982,42,121
55828,42,007
86055,42,017
50875,42,069
46953,42,083
44476,42,051
88166,42,091
54121,42,059
59114,42,075
51646,42,079
57183,42,093
49889,42,037
68472,42,019
46818,42,065
63823,42,071
62266,42,099
42821,42,105
50667,42,117
55233,44,007
75578,44,001
77237,44,005
50036,45,003
42765,45,071
49200,45,037
37525,45,027
36276,45,029
43792,45,085
59593,45,063
36566,45,011
59995,45,015
36254,45,031
48071,45,043
62431,45,091
47906,45,007
40033,45,025
40982,45,047
48279,45,051
49392,45,055
36188,45,075
36685,45,001
32229,45,009
44534,45,017
29362,45,033
53922,45,079
36294,45,039
32453,45,049
56789,45,045
55223,45,057
61698,45,035
45479,45,041
41578,45,059
42262,45,065
47024,45,077
40120,45,087
32351,45,089
59293,46,003
62532,46,051
51027,46,123
33438,46,071
60028,46,099
55472,46,033
54891,46,069
47798,46,025
53889,46,049
59375,46,077
52123,46,129
43189,46,027
44145,46,037
57419,46,043
57365,46,063
43804,46,089
50495,46,109
64028,46,119
81422,46,083
59232,46,079
52245,46,081
54774,46,029
44387,46,019
35441,46,031
68551,46,045
52500,46,021
48348,46,007
37420,46,055
41103,46,075
59218,46,093
55380,46,125
56455,46,013
63036,46,061
62234,46,087
31222,46,095
56850,46,105
55024,46,103
69563,46,127
51394,46,097
37143,46,137
57930,46,039
54450,46,009
50839,46,015
50837,46,047
44479,46,053
30347,46,102
54249,47,119
41352,47,173
55972,47,125
50549,47,043
40166,47,129
36987,47,061
38327,47,123
40837,47,079
33614,47,029
42047,47,033
44134,47,041
34966,47,095
54437,47,093
37139,47,101
41398,47,107
49370,47,117
39866,47,131
39451,47,143
35453,47,151
60167,47,167
49376,47,001
43762,47,045
35084,47,049
41886,47,053
53035,47,065
56078,47,105
63846,47,149
46404,47,159
71513,47,189
43442,47,163
37715,47,177
46752,47,179
33125,47,005
38170,47,013
49523,47,015
59017,47,047
28990,47,067
34151,47,091
45736,47,103
52294,47,127
49038,47,051
54140,47,009
36589,47,019
42997,47,057
37915,47,097
41553,47,099
48024,47,115
36558,47,133
64631,47,165
52864,47,169
109026,47,187
31487,47,027
40138,47,059
49782,47,157
37127,47,175
42430,47,077
41998,47,081
47264,47,089
51750,47,153
45943,47,155
40810,47,017
45667,47,023
56507,47,037
36703,47,087
34634,47,135
50003,47,145
43250,47,121
42589,47,063
38362,47,075
48819,48,143
79270,48,039
43750,48,345
43224,48,129
55265,48,013
43981,48,083
44346,48,353
29318,48,229
61059,48,325
64630,48,475
45798,48,213
51202,48,203
40606,48,327
43562,48,277
56297,48,149
83679,48,491
46182,48,373
48112,48,391
52278,48,055
48773,48,487
70478,48,383
47080,48,189
40764,48,419
41732,48,399
44658,48,407
51675,48,451
55631,48,469
57654,48,473
46575,48,485
72445,48,493
48116,48,219
38035,48,323
78888,48,329
55766,48,297
52178,48,299
50761,48,147
52252,48,255
46839,48,041
45345,48,067
59032,48,165
47170,48,179
49428,48,313
51700,48,237
82390,48,259
50882,48,035
55456,48,029
46485,48,017
40750,48,023
37132,48,061
83376,48,121
56237,48,477
42961,48,343
45336,48,429
60146,48,201
74233,48,003
58325,48,171
53006,48,177
43524,48,305
47194,48,503
31113,48,505
59049,48,221
51877,48,223
49928,48,357
65125,48,269
46146,48,275
48199,48,309
46044,48,073
43355,48,095
46138,48,119
40313,48,137
35325,48,133
45694,48,253
58384,48,389
33257,48,403
56576,48,421
38418,48,437
51928,48,231
42604,48,063
39229,48,195
70931,48,187
51191,48,077
48823,48,217
43598,48,347
54184,48,369
27061,48,377
