STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_mar,county,state,fips
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/26/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/27/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/28/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/29/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/30/20,,,,,
US1HIHI0057,"NAALEHU 4.7 WSW, HI US",19.04214,-155.63715,394.4,3/31/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/1/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/2/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/3/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/4/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/5/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/6/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/7/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/8/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/9/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/10/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/11/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/12/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/13/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/14/20,,,,,
